theta_rad,theta_deg,density
-1.110186877584363,-63.60902255639098,0.10510265249109554
-1.0944395459874214,-62.70676691729322,0.11029102188658946
-1.0786922143904802,-61.804511278195484,0.11569039189195218
-1.062944882793539,-60.902255639097746,0.12130534128644081
-1.0471975511965979,-60.00000000000001,0.12714021811663886
-1.0314502195996562,-59.09774436090225,0.13319910820850822
-1.015702888002715,-58.19548872180451,0.1394858025215139
-0.9999555564057738,-57.29323308270677,0.14600376344050722
-0.9842082248088322,-56.39097744360901,0.15275609011625493
-0.968460893211891,-55.48872180451127,0.15974548298109947
-0.9527135616149498,-54.58646616541353,0.16697420758209963
-0.9369662300180086,-53.684210526315795,0.17444405789000228
-0.921218898421067,-52.781954887218035,0.18215631925840858
-0.9054715668241258,-51.879699248120296,0.190111731223345
-0.8897242352271846,-50.97744360902256,0.19831045034899095
-0.8739769036302434,-50.07518796992482,0.20675201334034418
-0.8582295720333017,-49.17293233082706,0.2154353006579689
-0.8424822404363606,-48.27067669172932,0.22435850088344456
-0.8267349088394194,-47.36842105263158,0.23351907609654507
-0.8109875772424777,-46.46616541353382,0.24291372853628865
-0.7952402456455365,-45.563909774436084,0.25253836882763964
-0.7794929140485953,-44.661654135338345,0.26238808606358494
-0.7637455824516541,-43.759398496240614,0.27245712003833483
-0.7479982508547125,-42.85714285714285,0.282738835931361
-0.7322509192577713,-41.95488721804511,0.29322570174362955
-0.7165035876608301,-41.05263157894738,0.3039092687865994
-0.7007562560638885,-40.15037593984961,0.3147801555211251
-0.6850089244669473,-39.24812030075187,0.32582803503721497
-0.6692615928700061,-38.34586466165414,0.33704162645653063
-0.6535142612730649,-37.4436090225564,0.3484086905274324
-0.6377669296761233,-36.541353383458635,0.35991602966727393
-0.6220195980791821,-35.6390977443609,0.3715494926884291
-0.6062722664822409,-34.736842105263165,0.38329398442322316
-0.5905249348852992,-33.8345864661654,0.39513348043854507
-0.574777603288358,-32.932330827067666,0.40705104700352684
-0.5590302716914168,-32.03007518796993,0.41902886644337295
-0.5432829400944756,-31.12781954887219,0.43104826797934775
-0.527535608497534,-30.225563909774426,0.4430897641192935
-0.5117882769005928,-29.323308270676687,0.4551330926250403
-0.4960409453036516,-28.421052631578952,0.46715726404298186
-0.48029361370671,-27.51879699248119,0.4791406147421772
-0.4645462821097688,-26.61654135338345,0.49106086536100396
-0.4487989505128276,-25.714285714285715,0.50289518451894
-0.4330516189158864,-24.812030075187977,0.514620257604903
-0.41730428731894476,-23.909774436090213,0.5262123604082062
-0.40155695572200356,-23.00751879699248,0.5376474373129562
-0.38580962412506237,-22.10526315789474,0.548901183732185
-0.37006229252812073,-21.203007518796976,0.559949132414571
-0.35431496093117953,-20.30075187969924,0.5707667432148184
-0.33856762933423834,-19.398496240601503,0.5813294958790736
-0.32282029773729715,-18.496240601503764,0.5916129853596428
-0.3070729661403555,-17.593984962406005,0.6015930191392551
-0.2913256345434143,-16.691729323308266,0.6112457160145551
-0.2755783029464731,-15.78947368421053,0.6205476057619376
-0.2598309713495319,-14.88721804511279,0.6294757290865308
-0.2440836397525903,-13.984962406015029,0.6380077372375661
-0.2283363081556491,-13.08270676691729,0.6461219906607452
-0.2125889765587079,-12.180451127819554,0.6537976560508816
-0.19684164496176626,-11.278195488721792,0.6610148011661804
-0.18109431336482507,-10.375939849624054,0.667754486769238
-0.16534698176788387,-9.473684210526317,0.6739988550692504
-0.14959965017094268,-8.57142857142858,0.6797312140550237
-0.13385231857400104,-7.6691729323308175,0.6849361171291829
-0.11810498697705984,-6.76691729323308,0.6895994374803059
-0.10235765538011865,-5.864661654135343,0.6937084366614565
-0.08661032378317701,-4.96240601503758,0.6972518268804363
-0.07086299218623582,-4.060150375939843,0.7002198265487858
-0.055115660589294624,-3.1578947368421058,0.7026042086827219
-0.03936832899235343,-2.2556390977443685,0.7043983417993978
-0.02362099739541179,-1.3533834586466058,0.7055972230056338
-0.007873665798470597,-0.4511278195488686,0.7061975030330825
0.007873665798470597,0.4511278195488686,0.7061975030330825
0.023620997395412235,1.3533834586466313,0.7055972230056338
0.03936832899235343,2.2556390977443685,0.7043983417993978
0.055115660589294624,3.1578947368421058,0.7026042086827219
0.07086299218623582,4.060150375939843,0.7002198265487858
0.08661032378317746,4.9624060150376055,0.6972518268804363
0.10235765538011865,5.864661654135343,0.6937084366614565
0.11810498697705984,6.76691729323308,0.6895994374803059
0.13385231857400104,7.6691729323308175,0.6849361171291829
0.14959965017094268,8.57142857142858,0.6797312140550237
0.16534698176788387,9.473684210526317,0.6739988550692504
0.18109431336482507,10.375939849624054,0.667754486769238
0.1968416449617667,11.278195488721817,0.66101480116618
0.2125889765587079,12.180451127819554,0.6537976560508816
0.2283363081556491,13.08270676691729,0.6461219906607452
0.2440836397525903,13.984962406015029,0.6380077372375661
0.2598309713495319,14.88721804511279,0.6294757290865308
0.2755783029464731,15.78947368421053,0.6205476057619376
0.2913256345434143,16.691729323308266,0.6112457160145551
0.30707296614035595,17.59398496240603,0.6015930191392548
0.32282029773729715,18.496240601503764,0.5916129853596428
0.33856762933423834,19.398496240601503,0.5813294958790736
0.35431496093117953,20.30075187969924,0.5707667432148184
0.3700622925281212,21.203007518797,0.5599491324145704
0.38580962412506237,22.10526315789474,0.548901183732185
0.40155695572200356,23.00751879699248,0.5376474373129562
0.4173042873189452,23.90977443609024,0.5262123604082057
0.4330516189158864,24.812030075187977,0.514620257604903
0.4487989505128276,25.714285714285715,0.50289518451894
0.4645462821097688,26.61654135338345,0.49106086536100396
0.4802936137067104,27.518796992481214,0.4791406147421767
0.4960409453036516,28.421052631578952,0.46715726404298186
0.5117882769005928,29.323308270676687,0.4551330926250403
0.5275356084975344,30.22556390977445,0.44308976411929313
0.5432829400944756,31.12781954887219,0.43104826797934775
0.5590302716914168,32.03007518796993,0.41902886644337295
0.574777603288358,32.932330827067666,0.40705104700352684
0.5905249348852997,33.834586466165426,0.3951334804385445
0.6062722664822409,34.736842105263165,0.38329398442322316
0.6220195980791821,35.6390977443609,0.3715494926884291
0.6377669296761237,36.54135338345866,0.3599160296672736
0.6535142612730649,37.4436090225564,0.3484086905274324
0.6692615928700061,38.34586466165414,0.33704162645653063
0.6850089244669473,39.24812030075187,0.32582803503721497
0.7007562560638889,40.15037593984964,0.3147801555211249
0.7165035876608301,41.05263157894738,0.3039092687865994
0.7322509192577713,41.95488721804511,0.29322570174362955
0.7479982508547125,42.85714285714285,0.282738835931361
0.7637455824516541,43.759398496240614,0.27245712003833483
0.7794929140485953,44.661654135338345,0.26238808606358494
0.7952402456455365,45.563909774436084,0.25253836882763964
0.8109875772424782,46.46616541353385,0.24291372853628834
0.8267349088394194,47.36842105263158,0.23351907609654507
0.8424822404363606,48.27067669172932,0.22435850088344456
0.8582295720333017,49.17293233082706,0.2154353006579689
0.8739769036302434,50.07518796992482,0.20675201334034418
0.8897242352271846,50.97744360902256,0.19831045034899095
0.9054715668241258,51.879699248120296,0.190111731223345
0.921218898421067,52.781954887218035,0.18215631925840858
0.9369662300180082,53.68421052631577,0.17444405789000259
0.9527135616149502,54.58646616541356,0.16697420758209947
0.9684608932118914,55.4887218045113,0.1597454829810993
0.9842082248088326,56.39097744360903,0.15275609011625477
0.9999555564057738,57.29323308270677,0.14600376344050722
1.015702888002715,58.19548872180451,0.1394858025215139
1.0314502195996562,59.09774436090225,0.13319910820850822
1.0471975511965974,59.999999999999986,0.12714021811663906
1.0629448827935395,60.902255639097774,0.12130534128644065
1.0786922143904807,61.804511278195505,0.11569039189195202
1.0944395459874219,62.706766917293244,0.1102910218865893
1.110186877584363,63.60902255639098,0.10510265249109554
1.1259342091813043,64.51127819548871,0.10012050444260136
1.1416815407782455,65.41353383458646,0.09533962693798258
1.1574288723751867,66.31578947368419,0.09075492521819721
1.1731762039721287,67.21804511278198,0.08636118675306917
1.18892353556907,68.12030075187972,0.08215310599801506
1.2046708671660111,69.02255639097746,0.07812530770543459
1.2204181987629523,69.92481203007519,0.07427236878389898
1.2361655303598935,70.82706766917293,0.07058883870783021
1.2519128619568347,71.72932330827066,0.06706925848909075
1.267660193553776,72.63157894736841,0.06370817822978007
