group,x_m,y_m
Group 2,-110.08134502382663,67.66927843176462
Group 2,-105.07555964832885,69.11481247890828
Group 2,-99.40233622281556,71.00512623155953
Group 2,-93.72911279726911,72.56185520437275
Group 2,-88.97361669057275,74.1185841778933
Group 2,-83.63411229005064,76.6760674902206
Group 2,-78.12774837704951,78.7887710970403
Group 2,-72.62138446401522,80.67908484969155
Group 2,-67.53216933229453,83.01417830855773
Group 2,-61.94237566300416,85.68285654867658
Group 2,-56.352581993713784,88.12914493391966
Group 2,-51.013077593224835,90.46423839420048
Group 2,-45.50671368019055,92.1321622933906
Group 2,-40.25063903595768,93.57769634053426
Group 2,-35.6620024417735,95.91278979940043
Group 2,-30.15563852873921,97.69190862567478
Group 2,-24.816134128250262,98.8038578929804
Group 2,-19.47662972772814,100.02700208524828
Group 2,-12.969108739620834,99.69341730541026
Group 2,-12.468530202084324,105.58674841753246
Group 2,-13.636546789669515,111.14649474981664
Group 2,-15.138282402345384,116.15026644880166
Group 2,-16.973737040012423,121.1540381477867
Group 2,-18.22518338388687,126.38019970023284
Group 2,-19.309770215215973,132.16233588597814
Group 2,-15.305141914857554,139.16761626399133
Group 2,-21.061795096626927,140.83554016388877
Group 2,-27.569316084767404,140.72434523680454
Group 2,-31.907663410183336,137.61088729188543
Group 2,-27.652745841023492,134.71981919830546
Group 2,-22.31324144053454,131.4951663263021
Group 2,-16.640018014988083,128.93768301326747
Group 2,-12.21824093331607,131.71755617976322
Group 2,-6.878736532793951,132.05114095960124
Group 2,-1.7895214010732567,129.1600728667286
Group 2,1.9648176305500769,124.82347072741962
Group 2,3.8002722682171166,120.04208888118839
Group 2,6.553454224701092,115.2607070356645
Group 2,12.22667765024755,116.4838512286397
Group 2,16.982173756943904,118.48535990837516
Group 2,21.90452937615243,121.0428432214098
Group 2,24.323992307645234,125.93541999331059
Group 2,25.658868407775763,131.71755617976322
Group 2,30.4977942707282,134.94220905176658
Group 2,35.253290377424555,136.610132951664
Group 2,40.425935265434504,137.94447207172345
Group 2,45.598580153411284,139.50120104453669
Group 2,50.9380845539334,141.83629450411019
Group 2,56.11072944187701,143.83780318313833
Group 2,61.19994457363087,145.39453215595154
Group 2,64.70399433645278,150.17591400218276
Group 2,66.45601921786374,155.06849077408359
Group 2,71.46180459336152,156.0692451150123
Group 2,76.4675899688593,155.06849077408359
Group 2,82.0573836381165,153.17817702143233
Group 2,87.56374755115078,151.06547341602726
Group 2,92.81982219538365,148.0632103960704
Group 2,98.32618610838477,145.39453215595154
Group 2,103.41540124013864,142.50346406378623
Group 2,107.25317002798488,139.27881119107553
Group 2,113.26011247855568,137.61088729188543
Group 2,118.76647639158998,135.72057353781952
Group 2,123.60540225454241,133.38548007895335
Group 2,128.94490665506453,134.60862427192853
Group 2,133.95069203052913,135.83176846490375
Group 2,139.79077496858775,137.27730251134008
Group 2,144.46284131902803,139.16761626399133
Group 2,149.46862669449266,141.72509957773326
Group 2,154.1406930449329,143.83780318313833
Group 2,158.7293296391171,141.05793001805722
Group 2,160.2310652517598,135.60937861144262
Group 2,161.64937110814643,130.16082720624266
