group,x_m,y_m
Group 3,208.53689412506128,-36.74275768724489
Group 3,213.8763985255834,-33.62929974161843
Group 3,219.54962195112984,-29.84867223560861
Group 3,223.05367171395176,-24.844900536623584
Group 3,225.72342391421282,-20.619493323691508
Group 3,228.8103248957543,-16.394086111466756
Group 3,234.23325905249933,-16.28289118438253
Group 3,239.8230527217897,-14.39257743173128
Group 3,243.07681321584337,-9.833585439668502
Group 3,239.4059039405093,-6.164152860035577
Group 3,235.06755661509337,-9.944780366045403
Group 3,233.3989614899385,-14.726162211569305
Group 3,233.14867222117024,-19.841128837638557
Group 3,232.06408538980796,-25.178485316461607
Group 3,229.39433318958007,-29.626282382147483
Group 3,226.30743220800542,-33.85168959437224
Group 3,221.468506345053,-38.29948666076544
Group 3,216.04557218827478,-37.854706953843184
Group 3,211.20664632532234,-40.41219026617049
Group 3,205.7002824123212,-42.191309093152164
Group 3,200.36077801179908,-43.636843139588485
Group 3,195.18813312382233,-45.08237718531749
Group 3,190.6829262858942,-47.30627571851409
Group 3,187.846314573121,-51.754072784907294
Group 3,184.59255407906733,-55.645895216586695
Group 3,179.41990919105737,-58.87054808929737
Group 3,173.7466857655441,-62.5399806689303
Group 3,169.15804917135992,-65.09746398125759
Group 3,164.7362720896879,-67.98853207413025
Group 3,158.39561061409276,-66.76538788186237
Group 3,151.8880896259523,-64.43029442158155
Group 3,146.71544473800867,-63.42954008206747
Group 3,141.20908082494122,-61.98400603563115
Group 3,135.78614666819618,-61.31683647524777
Group 3,130.61350178018623,-62.317590815469174
Group 3,125.69114616097771,-63.98551471536662
Group 3,120.1013524917205,-65.87582846801787
Group 3,114.76184809119839,-67.76614222137644
Group 3,109.00519490942901,-69.10048134072855
Group 3,103.91597977767515,-68.87809148726743
Group 3,98.24275635212868,-69.87884582748882
Group 3,93.48726024543234,-72.88110884673837
Group 3,94.57184707679461,-78.32966025264565
Group 3,96.99131000825425,-83.44462687800758
Group 3,99.74449196480455,-88.11481379715458
Group 3,101.99709538375203,-93.78575505581566
Group 3,102.58110367754462,-98.78952675480068
Group 3,102.9982524588582,-103.79329845378571
Group 3,103.58226075265081,-109.13065493260876
Group 3,105.25085587780568,-115.57996067873744
Group 3,105.58457490283001,-122.14046135053569
Group 3,106.33544270916795,-128.14498738903478
Group 3,107.42002954053022,-134.14951342824122
Group 3,109.42234369067627,-138.81970034738822
Group 3,111.59151735340082,-144.15705682621126
Group 3,115.2624266287349,-148.0488792578907
Group 3,116.84759199763367,-153.60862559088218
Group 3,119.10019541661431,-158.1676175836523
Group 3,120.6853607855131,-162.94899942917618
Group 3,121.60308810433003,-169.0647203940522
Group 3,123.27168322951808,-174.17968702012143
Group 3,126.77573299233998,-178.1827043795924
Group 3,130.53007202396333,-182.8528912987394
Group 3,131.6980886115485,-187.8566629977244
Group 3,133.6169730055048,-193.30521440292438
Group 3,136.62044423079018,-198.1977911755325
Group 3,140.041064237356,-203.0903679474333
Group 3,140.79193204366078,-209.42847876577042
Group 3,141.79308911876697,-215.988979438276
Group 3,141.70965936247774,-220.99275113726102
Group 3,137.37131203709495,-223.66142937667254
Group 3,132.44895641785328,-222.66067503715848
Group 3,128.2774686049827,-225.88532790986915
Group 3,123.60540225454241,-229.44356556171053
Group 3,119.18362517287039,-233.4465829211815
Group 3,114.26126955366188,-234.66972711415667
Group 3,108.92176515313976,-237.89437998686736
Group 3,104.83370709652525,-241.67500749287717
Group 3,99.4942026960363,-242.7869567594755
Group 3,95.57300415190079,-246.4563893391084
Group 3,90.98436755771661,-248.45789801813655
Group 3,87.39688803860545,-252.5721103039844
Group 3,82.55796217568619,-255.46317839756438
Group 3,78.80362314406284,-260.2445602430883
Group 3,72.96354020600421,-262.35726384920065
Group 3,66.87316799917733,-260.91172980276434
Group 3,63.535977748834426,-256.57512766345536
Group 3,61.28337432988696,-251.79374581793147
Group 3,62.284531404993146,-246.5675842654853
Group 3,65.12114311773321,-242.00859227342252
Group 3,62.701680186306746,-237.2272104271913
Group 3,59.03077091090633,-233.11299814134344
Group 3,59.94849822975643,-226.99727717646743
Group 3,61.11651481740796,-222.1047004038593
Group 3,55.52672114811759,-218.99124245752554
Group 3,52.35639041032002,-214.20986061200165
Group 3,49.519778697513615,-209.42847876577042
Group 3,46.099158690947796,-203.86873243419356
Group 3,42.59510892812588,-200.19929985456065
Group 3,38.25676160270996,-197.3082317623953
Group 3,35.50357964619281,-192.52684991616408
Group 3,32.750397689708834,-187.52307821717906
Group 3,29.246347926886926,-183.74245071116923
Group 3,27.66118255798814,-178.96106886564533
Group 3,26.076017189089356,-173.7349073131992
Group 3,22.65539718249036,-169.50950010097444
Group 3,19.735355713461047,-163.2825842090142
Group 3,17.649611807025753,-158.5012023634903
Group 3,16.73188448817565,-152.16309154373852
Group 3,17.23246302571216,-146.26976043232364
Group 3,16.648454731919564,-140.59881917366258
Group 3,14.813000094252525,-135.81743732743135
Group 3,12.72725618778406,-130.14649606877026
Group 3,9.55692544998649,-125.25391929616214
Group 3,6.553454224701092,-120.58373237772247
Group 3,2.8825449493670123,-116.80310487100532
Group 3,5.886016174652411,-111.79933317202028
Group 3,11.308950331397446,-109.90901941936903
Group 3,7.054032762237602,-106.90675640011949
Group 3,1.0470903116999726,-107.46273103341863
Group 3,-3.8752653075085517,-109.3530447867772
Group 3,-9.381629220509671,-108.68587522639383
Group 3,-14.55427410851962,-106.01719698698231
Group 3,-15.388571671113638,-100.79103543453616
Group 3,-14.38741459604062,-95.78726373555114
Group 3,-16.55658825869883,-100.34625572832124
Group 3,-24.649274615738094,-107.90751073963357
Group 3,-30.239068285028466,-106.68436654665837
Group 3,-35.6620024417735,-108.90826507914764
Group 3,-36.746589273135775,-114.69040126560026
Group 3,-40.00034976718943,-118.9158084771177
Group 3,-43.337540017499165,-114.80159619197717
Group 3,-44.0884078238371,-108.35229044584848
Group 3,-40.83464732978345,-104.12688323362373
Group 3,-40.33406879221377,-110.02021434645326
Group 3,-38.41518439829064,-114.69040126560026
Group 3,-21.312084365395183,-118.35983384381854
Group 3,22.73882693874645,-138.4861155675502
Group 3,27.82804207046714,-141.59957351317664
Group 3,-61.358367369178396,-117.80385921122671
Group 3,-54.600557112336,-116.13593531132926
Group 3,-58.43832590018225,-112.68889258515746
Group 3,-61.52522688172373,-116.6919099446284
Group 3,-66.86473128224586,-119.24939325766304
Group 3,-69.45105372621765,-124.92033451632412
Group 3,-71.1196488514057,-130.14649606877026
